,ID,FULL TEXT,CREATED AT,LABEL
53,1.41E+18,"@MrEarthSriLanka @GMNChamikara කාටවත් බයියා කියලා කියන්නේ මොකටද, 
බයි,ටොයි, ජෙප්පෝ මේ හැමෝම නම් දේශපාලන වහල්ලු.මොකද ?",7/11/2021 7:05,Other
,,,,
54,1.41E+18,ඉතියෝපියා මහ මැතිවරණයෙන් අගමැති අබී අහමඩ්ගේ දේශපාලන පක්ෂයට ජය - Read More &gt;&gt;&gt; https://t.co/iZeyIZATAb #LKA #SriLanka https://t.co/bLY5j2G3re,7/11/2021 4:54,Politics
,,,,
55,1.41E+18,@proud_Buddhist1 දැන්ම කරලා දන්න..මේකට දේශපාලන පක්ෂ වලට කඩේ යන උන් fb එකක් කරන්න හදනව.එපා වෙලා තියෙන්නේ..මට අහු,7/11/2021 4:09,Other
,,,,
56,1.41E+18,අවුරුදු හැත්තෑ තුනක දේශපාලන රැවැටීලිකාර  බොරුව සහ ජනතාවගේ මොලය විදහාපාන කැටයම් පින්තුරයක්ද? https://t.co/11am8JpSic,7/11/2021 1:14,Other
,,,,
57,1.41E+18,දේශපාලන උසිගැන්විම් මත නීති විරෝධී අත් අඩංගුවට  ගැනීම් පිළිබඳව ගොනුකරන මූලික අයිතිවාසිකම් පෙත්සම් වලට  මෙම ඡායාරූප සාක්‍ෂි ලෙස යොදාගත හැකිය​. https://t.co/rTkjYP3ylw,7/10/2021 17:37,Other
,,,,
58,1.41E+18,@gayan_mh @RKahandagama පාර්ලිමේන්තුවට යවන්න හොදයි නාකි සෙට් එකක් දේශපාලනය කරන්න හොද නෑ ඔය වයසක අම්මට.🤷‍♂️ඔය ඇ,7/10/2021 17:17,Other
,,,,
59,1.41E+18,"@RKahandagama ප්‍රජාතන්ත්‍රවදයේ බලය සහ මානව නිදහස. 
මිලිටරිය හොදයි දේශපාලන බැතිමත් වහල් මානසිකයොන්ට.  අව",7/10/2021 16:19,Other
,,,,
60,1.41E+18,"@_thinkholic @gayan_mh @RKahandagama මම කියන්නේ ඒ ඇන්ටි කරෙත් දේශපාලනය ,මේ අක්කා කරන්නෙත් දේශපාලනය. මේ අක්ක ඒ ඇන්ටිගේ දේ?",7/10/2021 15:20,Other
,,,,
61,1.41E+18,"@shanki_thewitch අන්න ඒ වඳුරු ලොජික් එක තමයි නංගි මාත් හොයන්නෙ...

තමන් කැමති දේශපාලන පක්ෂයට කඩේ ගියා නම් මේ ?",7/10/2021 14:20,Other
,,,,
62,1.41E+18,@nnalani1231 @DjE6sRhJXFJIrCR @AiyaGune හුදු දේශපාලන වාසිය සඳහා තමයි හැම ආණ්ඩුවක්ම ක්‍රියා කරන්නේ. ව්‍යාපාරික සගයන් පින?,7/10/2021 13:25,Other
,,,,
63,1.41E+18,@KBWickrama @DjE6sRhJXFJIrCR @AiyaGune 2019 වර්ෂයේදී රජයේ ආදායම රු බිලියන 1895 ක් විය. මෙම රජය බලයට පත් වූ විගස හුදු දේශපාලන වාස?,7/10/2021 13:05,Politics
,,,,
64,1.41E+18,"https://t.co/tVskXmqXjF
ආන්ඩුවේ ප්‍රහාර පරාජය කිරීමේ ශක්‍යතාවය ඇති කම්කරු පන්තියේ ස්වාධීන දේශපාලන වැඩපිලිවෙලක් වටා ශිෂ්‍යයන් හා තරුනයන් බලමුලු ගැන්වීමට එරෙහිව වැට බැඳීම පෙසප ගොඩනගන පෙරමුනේ එල්ලයයි.",7/10/2021 11:29,Politics
,,,,
65,1.41E+18,@RKahandagama ආ ඒ කියන්නේ දේශපාලන මතය බලලද රාජපක්ෂ පාණ්ඩුව රටේ නීතිය ක්‍රියාත්මක කරන්නෙ !,7/10/2021 9:51,Other
,,,,
66,1.41E+18,@AiyaGune @DjE6sRhJXFJIrCR 2019 වර්ෂයේදී රජයේ ආදායම රු බිලියන 1895 ක් විය. මෙම රජය බලයට පත් වූ විගස හුදු දේශපාලන වාසිය සඳ,7/10/2021 8:16,Politics
,,,,
67,1.41E+18,"1960 වසරේදී දේශපාලන රැස්වීමක් අමතන සිරිමා බණ්ඩාරනායක මැතිණිය. ඇය තෙවරක් ශ්‍රී ලංකාවේ අගමැතිධූරය දැරීය.

ඒ 1960-65, 1970-77, හා 1994-2000 යන කාල වකවානු අතරය. https://t.co/AWr37D6MKQ",7/10/2021 7:04,Politics
,,,,
68,1.41E+18,@DJSlash9 ශාසනයට ගිය කලක්.. දේශපාලන  ගැවුන තැනක් මගා විනාශයක්...,7/10/2021 6:08,Other
,,,,
69,1.41E+18,@UPGammanpila කලගුණ අමතක නොකරන නිහතමානී දේශපාලන චරිතයක් ඔබතුමා.,7/10/2021 1:49,Politics
,,,,
70,1.41E+18,සඳුදා සිට පාසල් ගුරුවරු ඔන්ලයින් ඉගැන්වීම් අත්හිටුවයි - ස්ටාලින් ඇතුළු දේශපාලන හා ශිෂ්‍ය ක්‍රියාකාරිකයින් වෙනුවෙන් රට පුරා උද්ඝෝෂණ - (video) https://t.co/yeO1uKi1JU,7/9/2021 18:10,Other
,,,,
71,1.41E+18,"මේ ත්‍රස්තවාදය, මුස්ලිම් සංවිධාන ඔය සියලු නම් වලින් එන්නේ දේශපාලන බලය පැහැර ගැනීමේ කුමන්ත්‍රනයි. මීටත් වඩා උදාහරණ ඕනෙද තවත්. #Haiti හයිටිය යනු තනිකරම දේශපාලන බලය වෙනුවෙන් මිනි මරාගන්නා කුහක නායකයින්ගේ පිරි රටකුයි. මේ වගේ කුහකයින්ට මොකටද @UN එකේ සහයෝගය ලබා දෙන්නේ #SriLanka https://t.co/ikepdTcSAo",7/9/2021 16:25,Other
,,,,
72,1.41E+18,@Its_Me_S_Soori ලොකුම හේනේ තමයි දේශපාලන පක්ෂ වලට කඩේ යන චීවරදාරීන් බුද්ධ දර්මය විනාශකරන්නේ කවද හරි ඔය සෙ⁣?,7/9/2021 14:17,Other
,,,,
73,1.41E+18,"@indika27 @Rasthiyaduwa වෙනසක් කරන්න අවකාශය නැත්තෙ, එසේ කිරීමේ සක්‍යතාවය රටේ දේශපාලන අධිකාරිය සහ ආයතන පද්ධතිය?",7/9/2021 13:24,Other
,,,,
74,1.41E+18,"දවස | Dawasa|09/07/2021 - කාලීන දේශපාලන වැඩසටහන

https://t.co/Upzt5w1Wii",7/9/2021 13:03,Entertainment
,,,,
75,1.41E+18,"සඳුදා සිට පාසල් ගුරුවරු ඔන්ලයින් ඉගැන්වීම් අත්හිටුවයි - ස්ටාලින් ඇතුළු දේශපාලන හා ශිෂ්‍ය ක්‍රියාකාරිකයින් වෙනුවෙන් රට පුරා උද්ඝෝෂණ (VIDEO)
https://t.co/IudWuhkM8y",7/9/2021 11:53,Other
,,,,
76,1.41E+18,"කැමැති දේශපාලන පක්ශෙට බනිනකොට රිදෙනවා වගේද බනින එකාට ගහන්න හිතෙනවා  තමන්ගේ පක්ශේ කියන දේ විතරක් හරී වගේ හිතෙනවද 🤔 

Welcome to the club
උබත් වහලෙක් 😂

#SriLanka",7/9/2021 11:50,Other
,,,,
77,1.41E+18,2019 අග භාගයේදී ගෝඨාභය රාජපක්ෂ ජනාධිපතිට මේ රට භාර දෙන  අවස්ථාවේ එනම් 2019 වර්ෂයේදී රජයේ ආදායම රුපියල් බිලියන 1895 ක් විය. මෙම රජය බලයට පත් වූ විගස හුදු දේශපාලන වාසිය සඳහාත් ඔවුන්ගේ ව්‍යාපාරික සගයන් පිනවීම සඳහාත් රුපියල් බිලියන 600 ක් එනම් සමස්ත ආදායමෙන් තුනෙන් එකක් පමණ බදු සහන,7/9/2021 11:32,Politics
,,,,
78,1.41E+18,"නිරෝධායන නීති උල්ලංඝනය කිරීම හේතුවෙන් ජෝශල් ස්ටාලින්, සමන්ත විද්‍යාරත්න, නාමල් කරුණාරත්න ඇතුලු දේශපාලන ක්‍රියාකාරිකයින් පිරිසක් අත් අඩංගුවට ගැනෙයි https://t.co/JgdC9QERH6",7/9/2021 7:30,Politics
,,,,
79,1.41E+18,"මම නම් කෑම වේලකට හතුරෙකුට ආරාධනා කරන්නෙත් නෑ.... 

හතුරෙක් ආරාධනා කරොත් යන්නෙත් නෑ....

හැබැයි ඉතිං පුංචි අපේ පෞද්ගලික ජීවිත වගේ නෙවෙයි  දේශපාලන ජීවිත වල සදාකාලික හතුරොත් නෑ මිතුරොත් නෑ....

ඕවා ගැන හොඳටම දන්නෙ රනිල් වික්‍රමසිංහ ලා, මහින්ද රාජපක්ෂ ලා තමයි ඉතින්....🤷‍♀️",7/9/2021 7:09,Politics
,,,,
80,1.41E+18,"ලංකාවේ පාර්ලිමේන්තුව, පලාත් සභා , ප්‍රදේශීය සභා ගත්තොත් ඔය ඔක්කොම නියෝජනය කරන්නේ පවුල් පවුල් වලින් දේශපාලන උරුම වෙච්ච උන්ම තමා.සුද්ද කරන්න කරන්න ඕන පාර්ලිමේන්තුවේ ඉදන් නෙමේ ප්‍රාදේශීය සභා ඉදන්ම මිනිස්සුන්ට සුද්දයක් දාන්න වෙනවා.✌",7/9/2021 7:08,Other
,,,,
81,1.41E+18,"#SriLanka 
මෙම මර්දනය හුදෙක් කොවිඩ් වසංගතය නිසා ඇති වූවක්ද නොවේ. රාජපක්ෂ පාලනය ආරම්භයේ සිටම කර ගෙන එනු ලබන ප්‍රජාතන්ත්‍ර විරෝධී අත්තනෝමතික දේශපාලන සැලැස්මේ තවත් එක් පියවරක් පමණි.
https://t.co/G9wEMdBPGX via @LankaBrief https://t.co/qRBXxm6Ka4",7/9/2021 6:54,Other
,,,,
82,1.41E+18,"මේ ඔක්කොම ආයතන වල බලය, එක මණ්ඩලයකට දුන්නොත් කොහොමට තියෙයිද?
ඒ මණ්ඩලයේ 10 දෙනා ගෙන් 5 දෙනෙක් හමුදා නිලධාරීන්. දෙදෙනෙක් ආරක්ෂක ඇමතිගේ ලේකම්ලා. ඉතුරු තුන් දෙනාත් අඩු වැඩි වශයෙන් දේශපාලන පත්වීම්.
තාම ඉවර නෑ... තව තියෙනවා. 2/9",7/9/2021 6:08,Other
,,,,
83,1.41E+18,දේශපාලන අතකොලු.එයාලවත් දන්නැ එයාලව මෙහෙයවන්නෙ කවුද කියල https://t.co/NLjkD2YwkW,7/9/2021 5:13,Politics
,,,,
84,1.41E+18,මේකෙ ගොඩක් ඉන්නෙ දේශපාලන උම්මන්තකයො .ඔහේ පාඩම් කරන් ඇවිත් කියවනව 😂,7/9/2021 5:06,Politics
,,,,
85,1.41E+18,"වැඩ බැරි නන්දේ' ලෙස නාමධාරී ලංකා ඉතිහාසයේ 'අටර් ෆේල් රජා' ගෝඨාභය රාජපක්ෂ, රට අතේ සතේ නැති බංකොලොත්භාවයට ඇද දමා තිබිය දී, ඊයේ එක් දිනක් තුල දේශපාලන නායකයන්, වෘත්තීය සමිති නායකයන් සහ ක්‍රියාධරයන් රාශියක් අත් අඩංගුවට ගනිමින් වියරු රංගනයක් ආරම්භ කරනවාත් සමග, 'ගොනා හැරෙන්නේ පොල් පැලේ",7/9/2021 3:49,Other
,,,,
86,1.41E+18,@SuuTikka දේශපාලන ගොබ්බයෝ නේ ඉන්නේ හොද දෙයක් කරත් ඒකට විරුද්ධ තමන්ගේ පක්ශේ ගොඩ දාගන්න බැරි හින්දා යන එ?,7/9/2021 3:07,Politics
,,,,
87,1.41E+18,@PLalindra කොරල තියෙන හරිය පේනවනේ. හැමදාම ඔය බනේ තමයි. දේශපාලන චරිත වලට ආදරය කිරීමත් දෙදෙනෙක් අතර ඇතිවන ?,7/9/2021 2:30,Politics
,,,,
88,1.41E+18,"වඩිනවා නෙමෙයි වඩ්ඩවනවා !

ජාතිය ගැන ආගම ගැන කැක්කුමක් තියන උන් හරක් වගෙ උද්ඝෝෂණ කලෙ නෑ මිත්‍රයා මේවා මේ කාලෙන් කාලෙට පක්ෂ වලින් නිර්මාණය කරන දේශපාලන අතකොළු ! මුං ෆේක් දේශප්‍රේමියො https://t.co/jCZhq5w1Zv",7/9/2021 2:16,Other
,,,,
89,1.41E+18,සියලුම දේශපාලන පක්ෂවල මෝඩ තීරණ විවේචනය නොකර සුද්ද කරන පක්ෂ වහලුන් සිටින තාක්කල් මේ රට හැදිය නොහැක. දැනුත් මේ ට්විටර් අවකාශයේ ආණ්ඩුව විවේචනය කරන ගොඩක් දෙනා රට ගැන හිතන අවංක අයවලුන් නොව තවත් පක්ෂයක වහලෙක්. මේ තත්වය දැනට දියුණුයි සම්මත රටවල දකින්න ලැබෙනවා අඩුයි.,7/9/2021 2:14,Other
,,,,
90,1.41E+18,දේශපාලන ක්‍රියාකාරීන් අත්අඩංගුවට ගැනීමට එරෙහිව එජාපය නඩු මඟට https://t.co/zEwBmqlrG8 via @ColomboGuardian,7/9/2021 1:37,Politics
,,,,
91,1.41E+18,උද්ඝෝෂණකරුවන් අත්අඩංගුවට ගැනීමට එරෙහිව පියවර ගන්න https://t.co/wAGpGyydkV,7/9/2021 1:05,Politics
,,,,
92,1.41E+18,ශ්‍රීමත් ජෝන් කොතලාවල ආරක්ෂක විශ්වවිද්‍යාලය ලොව වඩාත්ම කීර්තිමත් ආරක්ෂක අභ්‍යාස විද්‍යාලයක් https://t.co/8HB5gkvw6L,7/9/2021 1:04,Other
,,,,
93,1.41E+18,"@Wmmsamarakoon1 @Toddy_Lad පොහොට්ටු පක්ෂයේ කඩේ යන දේශපාලන  හාමුදුරුවෝ හට අදාල වෙනවා නේද ?

#පක්ෂවහලුන් පුනරුත්ථාප",7/9/2021 0:22,Other
,,,,
94,1.41E+18,@EvilSavior7 මේවගේ කරගන්න අසද? මේක දේශපාලන මගුලක් නෙමෙයි..rules කියවන්න https://t.co/TTyy6tZQsY,7/8/2021 18:01,Other
,,,,
95,1.41E+18,"@IamKeshara @janindudezoysa ඔයිට වඩා අන්ත කමන්ට් මැසේජ් මට ඇවිත් තියෙනවා. ෆොටෝස් පවා ශෙයා වුණා rape කරා කියලා

එහෙමත්",7/8/2021 17:23,Other
,,,,
96,1.41E+18,"@PLalindra අපි ඉපදුනේ මේ රටේ,මේකෙ ඉන්න දේශපාලන හිඟන්නො තමා අපට වඳයක් උනේ,මුන්ට ඕන මේකෙ තියන හැම දෙයක්ම ස?",7/8/2021 16:33,Politics
,,,,
97,1.41E+18,"නිශ්ශංකගේ ව්‍යාපාරික ඥාණය හා වපසරිය සාම්ප්‍රදායික ව්‍යාපාරික ක්‍රමවලින් ඔබ්බටය. ඔහු ව්‍යාපාරික ක්ෂේත්‍රයේ නව මානයන් සොයා සැරි සෑරුවේය. ඔහු රටට විදෙස් විනිමය ගෙන ආ උල්පතක් විය. පාහර, පාදඩ දේශපාලන ක්‍රමය එම උල්පත වසා දමන්නට උත්සාහ කළද---&gt; https://t.co/Xf1mnGO891
#lka #sriLanka https://t.co/HNS0fZKD8q",7/8/2021 16:27,Entertainment
,,,,
98,1.41E+18,දේශපාලකයින් පුම්බන්නේ මාධ්‍යයි. දේශපාලන හොරු අවසානෙට බිහි වෙයි.,7/8/2021 15:10,Other
,,,,
99,1.41E+18,"දේශපාලන වාසි වෙනුවෙන් ජනමාධ්‍ය, ජඩමාධ්‍ය බවට පරිවර්තනය වූවා සේම අපේක්ෂිත වාසි නොලැබෙන කල්හි එම ජඩමාධ්‍යයන් ජනමාධ්‍යයන්  බවට පත් වනු ඇත 🙏🏻

එදිනට ඔවුන් සුදු රෙදි නිරුවත් කර එහි ඇති පැල්ලම් වර්ග කර අපට පෙන්නාවි....

එතෙක් ඒ සුදු රෙදි වල ලේ පැල්ලම් ඔබේ ලේ නොවීමට වගබලා ගන්න 🙏🏻 https://t.co/w7qo03JdCm",7/8/2021 14:09,Other
,,,,
100,1.41E+18,"දවස | Dawasa|08/07/2021 - කාලීන දේශපාලන වැඩසටහන

https://t.co/qICjQnzVR5",7/8/2021 13:09,Entertainment
,,,,
101,1.41E+18,"#SriLanka 
කියළ වැඩක් නෑ! මේව තමයි නියම දේශපාලන ප්‍රහාර! https://t.co/Sw6OoyDG0i",7/8/2021 12:45,Politics
,,,,
102,1.41E+18,ගුරු නායකයන් සහ දේශපාලන ක්‍රියාධරයන් නිරෝධා� https://t.co/GDls6NpwAr #LEN,7/8/2021 11:34,Other
,,,,
103,1.41E+18,@Its_Me_S_Soori ගොඩ එන රටවල් නෙමේ දේශපාලන ෆෑන් බේස් එක්ක බලද්දි,7/8/2021 10:14,Other
,,,,
104,1.41E+18,"තමන්ගේ ඇමරිකන් පුරවැසිකම ඉවත් නොකොට අපේ රට උගසට තියන් දේශපාලන කරන කෙනා....තමන්ගේ දුවත් ඇමරිකන් කාරයෙකුට විවාහ කර දුන් ""බැසිල් "" රට හදයි කියලා හිතෙනවා නම් "" අනේ වාසනාවන් ..."" අම්මා පල්ලා.😹🔫",7/8/2021 9:08,Other
,,,,
105,1.41E+18,දේශපාලන කරන අය ආශ්‍රය කලාම මෙහෙම බොරු / පච / කෙප්ප / බේගල් කියවෙනවා. https://t.co/zQse9Ra6Ve,7/8/2021 7:21,Other
,,,,
106,1.41E+18,"රට රකින දේශපාලන බහිරවයන් සිටින තාක්,සැමදා නිධානයක් උඩ සිට හිගා කන මේ උතුම් ජාතිය ජයෙන් උදාරයි🌝
#ඉන්දියන්සාගරයේමුතුඇටය #ආසියාවේආශ්චර්‍ය",7/8/2021 7:19,Other
,,,,
107,1.41E+18,"ප්‍රජාතන්ත්‍රවාදී අයිතීන් වෙනුවෙන් මර්දනයට එරෙහිව කඩිනමින් පෙළගැසෙමු !
සියලු දේශපාලන පක්ෂ, වෘත්තීය සමිති, බහුජන සංවිධාන එක් පෙරමුණකට පැමිණ කඩිනම් විරෝධයක් පළකිරීම සඳහා පෙරමුණ ගත යුතු බව සිවිල් සංවිධාන 45 කියයි. @lasanthadsilva @Herarth @sunandadesh @democracyLK #sriLanka https://t.co/MFBfT0uS07",7/8/2021 6:31,Politics
,,,,
108,1.41E+18,"#සිරස, #ශක්ති, #සියත ආයතන වලට පහර දී විනාස කරපු කළු ඉතිහාසයත්, මාධ්‍ය ආයතන බලපත්‍ර දේශපාලන අරමුණු සඳහා ලබාදුන්, අහෝසි කළ ඉතිහාසය ද මෙම පාලකවරයාට තිබෙනවා. නමුත් එම ඉතිහාසය ආයෙත් ඇති වෙන්ඩ බැහැ. අපි #සිරස_ශක්ති මාධ්‍ය නිදහස වෙනුවෙන් පෙනී සිටිනවා! #lka https://t.co/wzFacVPrdG",7/8/2021 5:51,Politics
,,,,
109,1.41E+18,ප්‍රජාතන්ත්‍රවාදී රටක දේශපාලන ක්‍රම ගැන දීර්ඝ කාලීන මැසිවිලි තියෙන්න ඔට්ටු නෑ.,7/8/2021 4:39,Politics
,,,,
110,1.41E+18,මුදල් ඇමැති බැසිල් දේශපාලන ඉතිහාසය වෙනස් කරයි! https://t.co/dU9YMNtXNi,7/8/2021 4:24,Politics
,,,,
111,1.41E+18,"දේශපාලන පක්ෂ නිවැරදි දිශාවට ගමන් කරමින්, ඓතිහාසික වගකීම් භාර ගත යුතු බව චීන ජනපති කියයි - SLBC News ( Sinhala ) https://t.co/mbxw1Apb8E via @SLBCnewslk",7/8/2021 3:01,Politics
,,,,
112,1.41E+18,"@vithanagedanu @ItsMeKande @vithanagedanu; @ItsMeKande;  එන්න, මම ගැටලුව ඇති එකම කෙනා සමඟ සිටිමි. මම ශ්‍රී ලංකාවේ ගෙදර සිටියා නම්, මම ද",7/7/2021 19:40,Politics
,,,,
113,1.41E+18,"@voiceofaparekka අපිට පෙනුනා අපිට තියෙන්නේ කනගාටුදායක සෞඛ්‍ය සේවයක් බව! ලෝකෙම වසංගතයක දුක් විදිනකොට, අපේම ?",7/7/2021 17:02,Other
,,,,
114,1.41E+18,"රාජ්‍ය ත්‍රස්තවාදය පරාජය කිරීම සදහා රටේ යුක්තිගරුක පුරවැසියන් දේශපාලන පක්ෂ, පාට බේදයකින් තොරව එක්වී ක්‍රියාකල යුතුයි.
#SriLanka #HumanRights",7/7/2021 16:02,Other
,,,,
115,1.41E+18,"@surenmadineshs @AzzamAmeen @Supun_Tharaka_1 @Maduruwaonline යු ඈන් පි එකේ මාතර සංවිධායකයකු ව සිටි ප්‍රමෝද්ය පොහොට්ටුවට පෑන්න, පොහොට්?",7/7/2021 15:55,Politics
,,,,
116,1.41E+18,තෙලිකඩ මාජූවාන ප්‍රාදේශීය බල මණ්ඩලයේ ප්‍රධාන දේශපාලන ක්‍රියාකාරින් හිටපු ප්‍රාදේශීය සභා මන්ත්‍රී නිහල් වීරසිංහ මහතාගේ නිවසේදී රැස්වූ අවස්ථාව .. https://t.co/w6N4My9mYQ,7/7/2021 15:27,Politics
,,,,
117,1.41E+18,"දැන් අඩ සියවසකට වඩා කාලයක් රටේ පාලනය බාර දුන්  SLFP, UNP, PPP,  ආණ්ඩුවලින් සිදුවී ඇති දේවල්  බුද්ධියෙන්  විමසා  එළබෙන ඉදිරි මැතිවරණයකදී ප්‍රධාන ධාරාවේ දේශපාලන පක්ෂ අතරින් මෙතෙක් බලය නොලැබූ  JVP මූලික  වූ දේශපාලන ප්‍රවාහයකට රාජ්‍ය බලය ලබා දීම කාලයේ අවශ්‍යතාවය බව මගේ හැගීමයි . https://t.co/rP77Ykpg5d",7/7/2021 14:08,Politics
,,,,
118,1.41E+18,@DPMJayawardhan1 @nnalani1231 @Bandula07160007 @DeSenaka @KirbyslA @deshanlasitha7 @ranjanieguruge @JagathAMARASIN1 @judecroos2007 @pdsiriwardana @Cats1st_ @Udayawickramar1 @surenmadineshs @samithaWickram3 @oshanda77 @sidathsaumya @C27717840 @nazrulrazack,7/7/2021 13:49,Other
,,,,
119,1.41E+18,"දවස | Dawasa|07/07/2021 - කාලීන දේශපාලන වැඩසටහන

https://t.co/Dm6xbOQKzN",7/7/2021 13:13,Entertainment
,,,,
120,1.41E+18,ජවිපෙ තවත් ප්‍රබල දේශපාලන ක්‍රියාකාරීයෙකු අත්අඩංගුවට https://t.co/QgpMNG3dH0,7/7/2021 12:55,Politics
,,,,
121,1.41E+18,"චීන කොමියුනිස්ට් පක්ෂයට වසර100ක් සැපිරීම වෙනුවෙන් පැවති ලෝක දේශපාලන පක්ෂ ඔන්ලයින් සමුළුවට  අග්‍රාමාත්‍ය මහින්ද රාජපක්ෂ මැතිතුමන් ප්‍රමුඛ නියෝජිත පිරිසක් ඊයේ (2021.07.06) අරලියගහ මන්දිරයේ සිට සම්බන්ධ වූ අයුරු.

#UdayaGammanpila #SLNews #MinistryofEnergy #PHU #China https://t.co/VNBUy99X9x",7/7/2021 11:08,Politics
,,,,
122,1.41E+18,ජවිපෙ තවත් ප්‍රබල දේශපාලන ක්‍රියාකාරීයෙකු අත්අඩංගුවට https://t.co/C6NwlB3BAZ https://t.co/LijGRru9Ym,7/7/2021 11:08,Politics
,,,,
123,1.41E+18,@Arshathz එම්එම්ටී න්‍යාය ඒකනං ඒක නැතිව පෘථග්ජනකායෙ එකෙක්වත් ඔළුවවත් හෙලවන්නෙ නැති එකේ ඒක මහ පුදුමයක?,7/7/2021 9:34,Other
,,,,
124,1.41E+18,"දේශපාලන ජීවිතය තුළ මම මඟහැරලා නෑ, පැනලා ගිහින් නෑ - ගම්මන්පිල https://t.co/krfWVNRDvD",7/7/2021 7:48,Politics
,,,,
125,1.41E+18,අපෝ ඔය ගෑණු වලි වලට වඩා හොදට අපි තමයි කළේ දේශපාලන 'නූල්'! ඕවා වැඩක් නැති දේවල් 🙄,7/7/2021 7:38,Other
,,,,
126,1.41E+18,""".මනසක් සහිත දේශපාලන ස්ත්‍රීන් ( කතිකාචාර්ය හෝ මහාචාර්ය ) පිරිස් සමග හා පිලිවෙල අහිමි හිස්ටරික ගෑනු සමග සෙක්ස් කිරීමට හෝ ඊට පොලඹා ගැනීමට නොයායුතුය.සෙක්ස් හෝ ලව් කලයුත්තේ සුන්දර සාමාන්‍ය ස්ත්‍රීන් සමගය.""

What a read 🤢

1/2 https://t.co/yX2FnGtgpf",7/7/2021 7:23,Other
,,,,
127,1.41E+18,@newsi_lk: SPA ඇරලා ආගමික ස්ථාන වැහුවේ දේශපාලන උවමනාවට ද? https://t.co/9cqV11K4ql,7/7/2021 6:46,Other
,,,,
128,1.41E+18,"@WaruAnu දක්ෂ ,පක්ෂග්‍රාහී නොවන, දේශපාලන නායකත්වයක් විසින් 
රටක් පාලනය කරන විට, රටට එන
ඕනෑම බාධකයක් මැ?",7/7/2021 6:27,Other
,,,,
129,1.41E+18,ප්‍රජාතන්ත්‍රවාදී ව්‍යාපාරය වෙනුවෙන් නොකඩවා නායකත්වය සැපයූ දේශපාලනයේ දැවැන්තයෙකු වූ  ශ්‍රී ජයවර්ධනපුර විශ්වවිද්‍යාලයේ දේශපාලන විද්‍යා අධ්‍යයනාංශ ප්‍රධානී මහාචාර්ය ටෙරන්ස් පුරසිංහයන්ගේ අකල් මරණය පිළිබඳ අපගේ හෘදයාංගම ශෝකය හා කණගාටුව ප්‍රකාශ කරමු.,7/7/2021 6:09,Other
,,,,
130,1.41E+18,අපේ මිත්‍රත්වය සලකල මෙහෙම කරපු වෙන රටවල් තියෙනවද? විශේෂයෙන් අපේ දේශපාලන පක්ෂ ඇගයීමට? https://t.co/M8jS7cjDtO,7/7/2021 3:17,Other
,,,,
131,1.41E+18,Tv එක දැම්මත් දේශපාලන රසකතා .මේකෙ Tl එකෙත් බාගෙට බාගයක්ම දේශපාලනය ගැන.සමහරක් නිසා  මේකත් එපා වෙනවා 🥴🙌,7/7/2021 2:57,Other
,,,,
132,1.41E+18,විදෙස් රටක දේශපාලන පක්ෂයක් වෙනුවෙන් මෙරට මහ බැංකුව විසින් රු 1000 පහත සඳහන් කාසිය නිකුත්කරයි නම් ශ්‍රී ලාංකික පුරවැසියෙකු ලෙස මාගේ බලවත් විරෝධය..... https://t.co/A2RpNVU4cy,7/7/2021 2:22,Other
,,,,
133,1.41E+18,"හිටපු ජනපති මෛත්‍රී - ඇමරිකානු තානාපති හමුවක්....! අනතුරුව ශ්‍රීලනිප හදිසි දේශපාලන මණ්ඩල සාකච්ඡාවක්...!
https://t.co/Xr26n4m4zq https://t.co/eUQ92GVzsu",7/7/2021 2:21,Politics
,,,,
134,1.41E+18,"@unknown_lankan බයි,ටොයි,ජෙප්පෝ සියල්ලම වහල්ලු.  දේශපාලන බැතිමත්තු. 🤮🤮🤮",7/6/2021 18:56,Other
,,,,
135,1.41E+18,@RW_UNP මැතිතුමා අද දින ලෝක දේශපාලන පක්ෂ නායක සමුළුවට සහභාගී වුණා. අන්තර්ජාලය ඔස්සේ සංවිධානය කර තිබූ ,7/6/2021 17:29,Politics
,,,,
136,1.41E+18,@nnalani1231 @Bandula07160007 @DPMJayawardhan1 @DeSenaka @KirbyslA @deshanlasitha7 @ranjanieguruge @JagathAMARASIN1 @judecroos2007 @pdsiriwardana @Cats1st_ @Udayawickramar1 @surenmadineshs @samithaWickram3 @oshanda77 @sidathsaumya @C27717840 @nazrulrazack,7/6/2021 17:12,Other
,,,,
137,1.41E+18,"@unknown_lankan @Nimiya_lk ස්වාධීන අපේක්ෂකයොන්ට ජන්දෙ දීල වැඩක් නෑ කියල සිරිසේන ඔප්පු කරා.

දේශපාලන අත්දැකීම් න?",7/6/2021 17:06,Politics
,,,,
138,1.41E+18,"@KamilaWDias අනේ වාසනාවන්, මගේ දරුවෝ දෙන්නගේ අනාගතය ගැන මම මාර බයෙන් හිටියේ, දැන් ඉතින් ඒ බයත් ගියා, ඇමරික?",7/6/2021 16:55,Other
,,,,
